age,years_licensed,vehicle_age,vehicle_type,annual_mileage,prior_claims,avg_speed_mph,hard_braking_per_trip,sharp_cornering_per_trip,night_driving_pct,highway_pct,trips_per_week,phone_use_per_trip,speeding_pct,annual_premium
35,18,3,SUV,10109,0,41.0,1.43,2.78,30.7,56.4,19.8,0.11,2.8,1400.56
43,28,2,SUV,7719,0,52.6,0.12,1.38,16.3,78.7,33.4,0.28,46.5,1600.5
61,45,9,Sedan,13069,0,54.0,0.1,2.34,19.8,43.8,24.5,0.88,3.8,943.18
51,33,14,Truck,13275,0,49.3,0.55,2.67,22.6,41.8,28.4,0.51,15.7,1496.53
27,12,10,SUV,5365,0,57.6,0.84,0.12,6.6,71.3,25.7,0.57,30.2,1111.96
53,38,13,Sedan,15036,0,20.0,0.48,4.03,17.5,38.2,44.7,1.41,26.6,1402.85
31,15,5,Sedan,7551,1,45.3,1.58,0.49,16.0,82.3,33.0,0.26,25.1,1607.07
48,30,11,Truck,18237,3,48.7,0.33,0.7,46.2,49.2,24.9,3.11,21.0,2708.37
65,49,12,Sedan,11805,0,27.2,1.83,1.88,35.0,53.5,22.9,0.24,57.2,1368.78
32,14,16,Sports,7014,0,47.6,2.23,1.31,34.6,52.4,19.4,0.1,1.7,1601.16
25,9,15,SUV,7432,0,56.0,0.2,2.68,17.8,64.4,17.2,0.82,50.4,1427.65
31,16,2,SUV,13392,1,42.3,1.58,0.61,22.1,20.1,15.4,0.36,29.3,1748.52
40,25,1,Sports,10435,0,52.9,4.88,0.56,18.6,62.8,32.9,0.21,19.7,2145.72
74,55,10,Sports,11613,1,57.3,0.32,0.04,5.9,44.2,17.8,0.14,3.4,1598.57
57,40,8,SUV,18451,1,61.1,3.6,0.75,16.6,32.0,30.1,0.86,2.8,1887.77
38,22,2,Sedan,9203,0,58.9,1.4,1.55,50.0,68.9,21.0,0.42,8.8,1468.12
33,14,17,Truck,12240,0,61.4,1.34,0.43,29.0,46.6,19.0,0.49,17.6,1903.52
62,45,19,SUV,17679,0,39.0,0.08,0.75,16.2,70.8,22.4,0.31,32.2,1201.23
35,19,14,Sedan,13082,1,40.3,2.07,0.3,35.7,79.4,39.3,0.12,43.1,1489.13
64,46,13,Hatchback,5574,0,20.0,0.98,1.78,58.2,57.2,49.3,0.21,10.3,863.18
70,53,1,Sedan,14022,1,32.2,1.92,0.07,45.1,73.9,22.1,0.07,22.0,1356.93
41,26,16,Sedan,7348,2,59.6,2.48,1.47,17.4,76.2,21.3,0.21,20.2,1759.69
43,24,7,Sedan,17627,0,37.7,1.11,0.57,21.5,54.5,32.6,1.22,9.7,1601.63
42,25,9,SUV,8709,0,49.8,0.46,0.05,35.3,19.5,26.2,0.43,1.9,1257.26
62,45,17,Truck,23878,2,47.9,0.23,2.3,44.8,51.7,19.8,0.02,7.9,2023.19
58,43,18,Sedan,17870,0,59.9,0.26,0.8,19.3,17.5,28.9,0.72,19.0,1401.58
46,30,7,Sedan,8814,0,20.8,3.03,1.1,6.4,77.1,31.1,0.73,9.1,1199.76
32,14,7,Sedan,12080,1,49.2,0.2,1.58,24.9,51.7,23.1,0.71,30.5,1705.57
62,47,2,Truck,15015,0,49.0,0.73,1.28,27.0,63.6,23.3,0.48,12.9,1493.25
18,0,2,Sedan,15135,0,34.7,0.61,1.58,11.1,65.2,38.7,0.02,19.6,1729.11
42,26,11,Hatchback,13769,0,56.5,3.01,1.72,43.3,52.4,18.4,0.24,35.1,1488.97
24,7,16,Sedan,17009,1,28.2,0.97,1.07,16.9,37.7,20.7,0.2,51.8,1912.24
26,8,3,Hatchback,11508,0,57.8,8.46,0.55,27.5,42.4,21.3,0.01,6.9,1718.93
41,22,16,Sedan,10533,0,20.0,2.0,0.33,28.3,47.3,38.6,0.04,7.4,1028.46
18,0,13,Truck,10613,0,34.1,2.85,2.8,18.5,83.9,9.2,0.27,26.3,2006.07
61,46,18,Sedan,15433,0,43.3,0.16,4.2,52.7,62.7,31.6,1.06,14.8,1362.23
25,9,8,Sedan,13461,0,47.6,0.44,0.53,39.0,43.6,24.8,1.63,22.6,1750.68
41,26,11,Sports,13165,0,22.6,0.22,0.14,12.4,57.7,39.5,0.68,1.8,1516.44
28,13,4,Sports,15181,1,57.5,0.93,0.3,21.7,66.9,27.8,0.13,12.4,2228.18
68,53,10,SUV,3796,1,54.0,1.9,1.33,15.3,25.9,7.8,1.27,16.9,1078.07
34,15,19,Truck,13240,0,67.8,0.28,0.23,14.8,67.9,37.9,1.91,40.3,1651.8
25,6,2,SUV,12874,0,53.4,0.21,1.82,31.6,43.7,23.1,0.28,25.8,2182.21
52,37,14,Sports,18675,0,36.2,1.43,3.08,34.1,47.9,8.7,0.37,20.4,1958.05
52,33,13,Sedan,5886,0,32.1,0.39,3.98,27.1,45.5,21.8,0.21,16.3,1187.34
50,34,10,SUV,18229,0,40.0,0.98,0.01,37.1,82.3,25.3,0.96,9.1,1460.12
22,7,19,SUV,12302,0,71.2,0.08,3.81,26.0,44.0,16.6,0.18,5.3,1926.36
59,40,7,SUV,13956,0,45.6,1.71,1.62,35.1,73.1,12.7,0.06,26.9,1494.69
56,38,3,Sports,18704,0,46.1,1.17,0.11,20.2,53.7,27.4,0.3,13.8,1875.16
58,43,11,Sedan,14243,0,61.6,1.56,0.64,42.1,95.8,15.0,0.09,13.7,1374.35
45,30,7,Sedan,13601,0,31.0,0.48,1.44,29.8,44.0,16.8,0.28,11.2,1205.11
24,8,5,SUV,12969,1,51.5,0.49,3.77,26.5,43.0,35.9,0.44,2.6,1728.69
26,9,14,Truck,10066,1,51.2,2.42,0.22,33.0,61.9,22.4,0.81,6.6,1725.47
25,8,11,Sedan,11886,1,56.5,1.9,0.16,13.4,46.0,15.3,0.59,25.8,1891.75
29,13,15,SUV,9138,1,55.2,1.3,0.77,20.2,84.7,17.8,0.67,33.5,1723.73
51,35,15,Hatchback,11822,0,44.3,1.48,4.13,16.5,48.5,28.1,0.45,12.6,1278.73
50,34,19,Sedan,2656,0,28.4,0.15,4.26,12.0,68.0,28.4,0.04,41.0,772.66
65,48,19,Truck,13716,0,38.2,2.91,0.31,58.4,66.5,30.3,1.06,10.5,1546.62
72,55,3,Truck,11513,1,55.1,2.2,0.46,29.2,26.1,31.4,0.6,52.7,2137.01
40,21,10,SUV,10655,0,67.3,1.34,2.86,60.2,39.4,27.7,0.78,19.2,1924.24
41,26,12,Hatchback,12879,0,30.3,3.76,1.59,14.5,40.2,29.9,1.41,10.4,1438.45
54,39,8,Truck,6266,0,29.5,0.28,4.3,30.9,22.7,21.2,1.72,27.0,1294.07
52,34,3,SUV,19717,0,26.1,1.74,2.68,19.3,68.9,16.1,1.66,22.4,1873.69
61,43,11,SUV,11589,0,35.8,4.94,0.29,13.4,84.7,35.9,0.16,21.1,1055.85
57,42,8,Truck,11417,0,56.4,0.56,1.71,23.2,57.1,32.0,0.95,29.5,1478.51
39,20,12,SUV,8138,0,60.8,0.02,0.06,28.0,42.3,22.7,1.59,31.2,1515.3
44,27,15,Sports,12096,0,20.1,1.99,2.04,72.7,35.7,19.7,0.61,31.3,2061.6
52,35,5,SUV,17548,0,30.5,0.01,1.1,29.5,82.6,43.3,0.63,16.5,1240.66
18,0,9,Sedan,16144,0,28.3,3.09,3.75,53.7,65.4,17.8,1.08,17.2,1800.83
52,35,12,Sedan,15418,0,34.6,0.09,3.86,42.5,39.0,26.8,0.17,31.4,1553.48
54,38,6,Sedan,14186,0,42.3,1.59,0.06,5.4,55.3,19.6,0.11,17.7,1181.01
64,49,18,Sedan,10566,1,40.2,0.71,0.21,40.7,15.5,21.7,0.29,14.9,1228.76
31,16,18,Sports,6199,1,51.2,0.34,0.79,41.6,85.1,19.0,1.5,60.0,2140.08
20,1,16,Truck,11196,1,21.9,3.43,2.54,64.8,49.9,7.7,0.03,11.3,2091.71
18,1,12,Truck,11057,0,38.8,2.06,2.02,56.1,33.9,28.1,0.29,11.4,1998.43
22,4,12,SUV,16195,0,61.4,0.62,4.0,25.5,81.5,30.3,0.59,17.1,1868.08
43,25,1,Sports,13238,0,61.9,0.5,1.16,20.0,43.1,19.7,0.53,25.0,2000.42
72,55,9,SUV,18449,1,65.0,2.0,0.36,27.6,36.0,45.9,0.83,12.4,1780.81
31,13,12,Sports,16790,0,49.7,2.72,0.03,39.3,34.8,27.3,0.16,13.4,2087.99
56,37,8,SUV,10174,0,37.1,1.89,0.3,15.7,47.4,26.3,0.13,29.4,1398.14
44,25,0,Hatchback,4819,1,47.1,1.53,1.35,50.7,58.3,28.1,0.88,36.3,1654.06
26,9,13,Truck,17542,0,75.3,0.39,3.13,60.4,14.8,20.3,0.87,5.3,2355.93
32,14,15,Sedan,17438,0,38.6,2.87,0.46,9.3,28.1,17.2,0.14,10.2,1484.66
32,13,19,SUV,6535,0,67.0,2.08,2.5,17.9,51.5,18.9,0.29,23.4,1634.19
43,24,14,SUV,18037,1,20.0,1.09,0.6,6.3,48.1,20.6,0.3,16.3,1632.05
59,43,0,Sedan,13528,0,51.9,1.07,0.44,16.7,63.8,29.5,0.36,27.7,1349.46
30,14,16,SUV,12643,0,52.8,1.26,0.85,35.2,73.2,22.0,0.91,29.9,1716.16
68,49,12,Sedan,18459,1,49.5,2.64,0.7,20.2,24.7,29.9,0.46,10.6,1667.45
49,32,14,Sedan,17379,1,50.3,2.03,2.94,29.8,90.7,14.9,0.37,34.4,1803.42
56,41,15,Hatchback,14605,1,51.3,2.91,0.76,3.9,28.1,19.8,0.17,19.0,1313.95
66,51,15,SUV,13893,0,51.8,1.06,0.39,15.0,30.9,19.3,0.02,12.5,1252.08
69,50,1,Sports,14466,1,41.0,1.47,2.22,8.3,83.6,2.0,1.25,11.1,1926.37
49,30,16,Truck,10400,2,41.7,2.89,8.02,8.5,71.6,21.3,0.63,29.3,2325.73
21,2,10,SUV,11780,0,28.7,0.4,1.25,34.1,48.1,16.7,0.04,3.8,1339.08
47,30,7,SUV,8391,0,53.8,0.88,0.35,28.8,82.2,28.7,0.18,5.4,1333.81
54,38,19,Truck,10668,1,60.6,1.45,0.33,41.2,40.5,30.9,0.52,39.4,1677.55
40,21,2,Hatchback,10533,0,65.9,3.7,0.07,36.8,82.1,13.8,0.12,9.8,1228.74
56,37,11,Sedan,9459,1,35.1,0.02,0.1,40.9,35.4,23.0,0.06,9.0,1381.33
62,44,19,Sports,12547,0,24.3,0.36,2.96,14.7,68.4,14.8,0.4,60.0,1569.08
32,15,15,Hatchback,10704,0,49.5,0.4,0.12,40.7,50.1,27.6,0.2,21.6,1206.61
60,41,13,Truck,14009,0,31.1,0.59,0.79,19.0,43.3,19.5,0.88,0.3,1217.78
46,28,15,Hatchback,5511,0,51.9,0.5,1.44,46.2,37.6,20.7,1.51,37.7,1337.04
53,38,16,SUV,11547,0,20.0,1.34,2.28,46.1,71.3,23.3,0.44,16.4,1533.86
30,11,10,Hatchback,12526,0,58.0,3.25,0.23,18.5,71.2,27.3,0.62,4.6,1257.56
49,30,16,Truck,10757,1,46.8,1.52,0.69,38.9,43.8,25.4,2.05,29.8,2004.19
24,6,18,Sedan,11310,0,21.9,0.41,0.35,38.0,69.5,28.1,0.13,41.4,1291.08
68,51,0,Hatchback,5659,0,48.6,2.99,0.35,8.9,60.1,30.8,1.18,32.3,1072.78
39,20,11,SUV,13426,1,46.1,1.5,0.43,12.4,63.1,23.9,0.41,51.2,1881.47
45,30,14,SUV,14590,1,51.3,0.37,1.06,11.8,40.4,16.7,0.1,8.2,1516.85
19,0,17,SUV,13974,0,54.6,0.67,0.02,31.8,82.9,12.2,0.17,37.3,1554.45
59,44,13,Sedan,16155,0,20.0,2.34,0.63,14.6,35.0,18.9,0.58,15.0,1171.38
62,46,0,SUV,12806,1,39.3,2.01,0.25,6.9,60.3,26.8,1.28,28.5,1704.1
74,55,12,Sports,13915,0,43.9,1.29,4.1,29.5,62.2,13.9,0.06,6.1,1517.07
70,55,14,Sedan,12624,0,41.5,0.23,1.05,37.8,25.4,33.6,0.51,5.2,1045.35
23,6,6,Sedan,14750,3,40.8,2.44,2.43,12.8,84.4,16.6,0.24,18.5,2232.12
45,26,14,Sedan,5691,0,57.7,0.55,0.26,34.8,31.7,24.1,0.19,41.9,1344.23
45,26,19,SUV,8426,0,24.2,2.21,1.99,30.6,92.9,36.8,0.1,33.9,1201.19
61,45,9,Truck,18348,0,41.5,1.56,0.64,39.3,65.0,23.5,1.1,3.0,1521.7
61,46,13,Truck,2158,1,42.5,0.46,0.23,52.5,73.8,16.3,0.23,13.4,1336.72
37,18,5,Hatchback,11439,0,43.7,0.36,1.72,7.1,24.8,4.9,0.29,2.6,856.54
47,28,13,SUV,16689,0,33.3,0.21,1.72,26.3,34.6,28.2,0.12,14.7,1596.25
28,11,11,Sedan,11627,1,70.7,0.42,6.59,18.8,47.5,27.5,0.47,10.0,1969.74
72,54,10,Hatchback,10380,0,56.7,0.26,1.82,2.0,72.9,29.6,0.29,21.3,812.75
45,29,19,Truck,12518,0,71.5,1.44,0.19,66.8,47.0,25.9,0.11,5.5,1642.59
42,26,18,SUV,10588,0,52.7,1.37,0.47,11.8,42.1,20.7,0.19,24.2,1382.94
56,38,1,Truck,12123,2,54.1,1.32,0.72,22.4,55.5,18.7,0.25,23.3,2002.09
50,31,19,Hatchback,9266,1,44.9,1.54,0.16,13.5,71.1,25.3,0.04,37.0,1096.26
18,1,0,Truck,16435,1,63.8,2.53,1.86,17.1,51.9,32.9,0.03,16.7,2475.56
74,55,7,SUV,17693,1,51.8,3.67,0.9,48.2,60.9,2.0,2.45,11.3,1920.24
44,28,13,Truck,11466,0,42.7,0.39,3.47,23.3,33.5,32.5,1.31,4.6,1653.06
74,55,8,Sedan,6454,0,67.2,1.33,1.07,48.7,78.3,22.7,0.45,59.3,1572.64
69,51,1,SUV,9905,0,29.4,0.12,0.89,29.4,71.6,23.7,0.14,21.4,1212.4
30,11,4,SUV,11264,1,36.2,0.19,0.09,10.7,67.7,30.6,0.13,17.7,1508.87
58,40,7,Sedan,14022,0,78.7,1.59,0.19,48.8,81.8,23.6,0.29,25.5,1319.64
20,5,15,Sedan,7968,0,53.0,1.0,2.27,71.1,26.6,26.8,0.24,8.0,1707.71
56,40,15,Sedan,8923,0,20.0,2.13,5.61,39.0,55.1,11.9,0.66,13.1,1203.18
23,6,12,Truck,14043,1,57.2,0.83,0.64,54.0,52.7,22.8,0.26,11.1,1887.34
25,10,19,Sports,15756,0,32.7,0.2,1.99,10.4,51.5,29.1,1.55,41.7,2111.82
44,27,14,Hatchback,9514,1,38.1,3.08,1.19,15.9,38.6,21.9,0.15,10.1,1158.48
26,7,0,Sedan,6667,0,75.6,0.13,3.83,19.7,48.8,22.3,0.01,8.4,1478.18
54,35,2,SUV,25136,0,64.9,0.31,0.33,4.5,45.3,26.3,0.46,22.6,1951.58
50,31,5,Hatchback,15133,0,69.0,0.49,0.94,9.8,32.3,28.4,2.21,34.7,1595.12
68,51,13,Sedan,10932,0,37.7,8.03,0.63,56.5,67.0,37.2,0.95,34.5,1854.57
59,44,3,Truck,15476,1,41.5,0.81,0.94,43.6,39.8,28.5,0.0,12.7,1813.83
61,42,17,Truck,11502,1,47.6,1.04,0.38,41.3,46.4,35.8,0.43,25.2,1582.94
41,26,14,Sedan,15469,0,55.4,2.2,0.83,48.7,50.9,24.2,0.3,13.3,1716.41
32,15,8,Sports,12638,1,40.9,1.52,1.18,20.4,23.5,6.1,0.73,18.9,2119.9
71,55,17,Sports,12365,2,67.5,2.76,0.1,7.4,40.4,21.6,0.15,8.9,1867.28
49,32,2,Sedan,11546,0,50.9,1.0,1.63,6.0,31.6,18.5,0.14,19.2,1230.19
49,32,9,Sedan,6210,0,62.9,5.37,1.47,25.7,49.0,24.5,0.19,23.9,1572.56
41,25,16,Sedan,19752,0,35.6,2.39,2.55,28.3,61.3,22.4,0.14,3.3,1418.72
58,41,6,Sedan,8234,0,40.0,0.77,0.67,26.4,76.7,27.1,0.01,5.8,776.44
69,52,14,SUV,6560,1,47.9,0.72,0.08,9.3,43.8,19.6,0.49,5.3,979.23
66,48,0,SUV,11149,1,39.5,3.98,0.74,21.0,23.2,26.7,0.47,18.0,1830.68
66,47,10,Sedan,8154,0,57.6,1.73,0.18,26.0,67.2,28.0,0.95,15.0,1147.59
69,53,16,Hatchback,11793,0,57.8,1.46,1.25,17.3,66.3,25.3,0.6,11.2,1102.79
29,13,4,SUV,14751,0,42.1,2.13,0.06,7.1,38.8,13.3,0.51,15.9,1599.49
56,40,6,Sedan,15981,0,52.9,1.23,0.56,23.8,33.1,32.2,0.13,8.4,1312.11
19,1,18,Sedan,15259,1,69.5,0.26,0.1,18.0,40.0,30.0,0.67,8.2,1702.65
20,3,14,SUV,10777,1,57.5,0.58,0.0,19.8,55.0,23.5,0.97,4.8,1926.66
66,47,2,SUV,12198,0,52.8,1.22,3.88,17.7,47.8,10.5,0.29,16.2,1454.66
54,39,14,Sedan,13632,1,60.5,0.03,6.66,18.0,33.3,27.4,0.39,28.9,1593.8
66,49,4,Sedan,4969,0,65.2,0.86,0.97,41.1,30.1,20.8,0.77,60.0,1263.62
73,55,11,Sports,14282,0,63.2,2.11,0.33,68.6,33.3,20.6,0.31,8.1,2026.01
34,17,19,Hatchback,6171,0,44.1,0.27,2.9,37.6,71.8,24.4,0.55,30.3,1052.68
66,49,4,Sedan,20161,0,55.8,0.1,3.08,35.8,75.0,36.6,0.12,25.5,1555.8
19,1,2,SUV,10382,1,41.4,2.71,2.31,23.8,67.7,26.2,0.44,17.9,2179.48
19,3,8,SUV,11260,0,44.3,1.44,0.94,57.6,39.5,24.1,0.02,19.0,1870.32
45,29,8,Truck,8921,0,50.8,0.29,0.09,14.2,81.0,20.8,0.12,9.6,1138.85
71,52,6,SUV,9480,0,27.6,2.46,0.11,14.9,9.8,25.2,1.27,16.6,1343.82
40,21,1,Hatchback,21096,0,49.4,1.61,2.72,48.2,70.4,25.0,0.45,5.6,1439.82
54,38,15,SUV,15761,0,36.7,0.61,2.5,45.9,48.0,29.8,0.3,12.8,1286.52
49,34,8,SUV,5803,0,30.8,0.71,0.68,55.7,63.0,20.7,0.37,3.3,923.19
50,33,12,SUV,18017,0,54.5,0.25,0.48,29.9,68.0,18.5,0.0,40.6,1490.6
18,3,18,Hatchback,16773,0,41.9,2.71,1.24,13.2,59.5,21.5,0.31,17.9,1593.33
36,19,19,Truck,10875,1,47.6,1.07,1.97,19.7,88.6,24.3,0.08,5.6,1352.81
19,3,16,Sedan,13227,1,42.2,1.22,1.58,8.5,64.8,24.8,0.98,41.7,1924.39
70,51,5,Sedan,11940,0,37.6,3.22,1.15,46.5,86.5,24.9,0.27,8.9,1202.3
61,42,3,SUV,19890,0,46.4,0.02,0.32,24.6,70.8,17.1,0.13,26.6,1445.5
43,28,0,Sedan,8815,0,28.7,0.1,0.37,36.1,48.1,24.3,0.36,24.6,1268.91
49,30,17,Truck,12584,0,43.8,0.26,1.55,43.5,24.8,30.5,0.23,9.1,1481.78
23,7,18,Sports,10287,1,68.8,0.05,1.95,34.3,40.5,35.2,0.31,4.1,2268.5
